,0
0,Arizona
1,Indiana
2,Louisiana
3,Maine
4,Maryland
5,Massachusetts
6,Michigan
7,Minnesota
8,Missouri
9,New Mexico
10,Oklahoma
11,Oregon
12,Pennsylvania
13,Utah
14,Vermont
15,Virginia
16,Washington
17,West Virginia
18,Wisconsin
19,Wyoming
